,bert_cause_cs_pairs,bert_treat_cs_pairs,roberta_cause_cs_pairs,roberta_treat_cs_pairs,bert_cause_cs_simple,bert_treat_cs_simple,roberta_cause_cs_simple,roberta_treat_cs_simple,term1,term2,relation_candidates,sentence,entity_id_y,is_cause,is_treat,is_food_correct,is_food_partially_correct,is_disease_correct,is_disease_partially_correct,bert_cause_ade_simple,roberta_cause_ade_simple,bert_cause_ade_pairs,roberta_cause_ade_pairs,biobert_cause_cs_simple,biobert_treat_cs_simple,biobert_cause_ade_simple,biobert_cause_cs_pairs,biobert_treat_cs_pairs,biobert_cause_ade_pairs
294,1.0,0.0,1.0,0.0,1,0,1,0,wheat,allergic reactions,YYY is one of the five most common foods that trigger XXX in children .,Wheat is one of the five most common foods that trigger allergic reactions in children.,,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,0,1,1.0,0.0,1.0
5,0.0,0.0,0.0,0.0,0,1,0,1,psidium guajava,cancer,"XXX is a promising functional food against YYY , owing to a variety","Psidium Guajava is a promising functional food against cancer, owing to a variety of bioactive compounds.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.2,0.0
75,1.0,0.0,1.0,0.0,1,0,1,0,flour,allergic reactions,XXX to wheat may be caused by ingestion of wheat containing foods or inhalation of YYY ( Bakers asthma ) .,Allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (Bakers asthma).,,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1,0,1,1.0,0.0,1.0
218,0.0,0.0,0.0,0.0,0,0,0,0,milk,chronic diseases,"Milk and YYY product intake is associated with better diet quality and has been associated with a reduced risk of XXX or conditions including hypertension ,","Milk and milk product intake is associated with better diet quality and has been associated with a reduced risk of chronic diseases or conditions including hypertension, cardiovascular disease, metabolic syndrome, Type 2 Diabetes and osteoporosis.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
5,0.0,1.0,0.0,1.0,0,1,0,1,beer,memory impairment,"the hop-derived bitter components in YYY , improve XXX in aged and Alzheimer 's","We have previously demonstrated that iso-ÃÂÃÂÃÂÃÂ±-acids (IAAs), the hop-derived bitter components in beer, improve memory impairment in aged and Alzheimer's disease mouse models.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
166,0.0,0.4,0.0,1.0,0,0,0,1,ginger,obesity-related impairments,Reports have shown that YYY and avocado induce antioxidant and anti-inflammatory effects by improving enzymatic activity and modulating XXX in the anti-inflammatory system in,"Reports have shown that ginger and avocado induce antioxidant and anti-inflammatory effects by improving enzymatic activity and modulating obesity-related impairments in the anti-inflammatory system in different tissues, without side effects.",,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,0,1,0,0.0,1.0,0.0
168,0.0,1.0,0.0,1.0,0,1,0,1,healthy diets,type 2 diabetes mellitus,AGEs ) levels could affect XXX ( T2DM ) remission in newly diagnosed patients through the consumption of two YYY .,It is hypothesized that decreased advanced glycation end products (AGEs) levels could affect type 2 diabetes mellitus (T2DM) remission in newly diagnosed patients through the consumption of two healthy diets.,DOID:9352,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,1.0,0,1,1,0.8,0.6,0.0
258,0.0,0.1,0.0,0.3,0,1,0,1,olive oil,cardiovascular disease,"A Mediterranean diet supplemented with YYY and nuts prevents XXX in clinical studies , but","A Mediterranean diet supplemented with olive oil and nuts prevents cardiovascular disease in clinical studies, but the underlying mechanisms are incompletely understood.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
249,0.4,0.0,0.0,0.0,0,1,1,1,whey protein,lipemia,"Recently , we demonstrated that XXX ( WP ) combined with low dietary fiber improved YYY , a risk factor for","Recently, we demonstrated that whey protein (WP) combined with low dietary fiber improved lipemia, a risk factor for cardiovascular disease in subjects with abdominal obesity.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.6,0.3,0,0,0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.2,0,0,0,1,olive oil),cardiovascular disease,which is rich in virgin YYY decreases the risk of XXX .,Epidemiological studies suggest that a Mediterranean diet (which is rich in virgin olive oil) decreases the risk of cardiovascular disease.,,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.9,0.0
